from,times,to
Беллатриса Блэк,1.0,Ремус Люпин
 Луна,1.0,Драко 
Гарри Поттер,1.0,Мэри
Драко Малфой,1.0,Роуз Уизли
РХ,1.0,СС
Роберт Левандовски,1.0,Томас Мюллер
Мирослав Клозе,2.0,Тони Кроос
Марио Гётце,1.0,Роберт Левандовски
Марко Ройс,1.0,Роберт Левандовски
кукла,1.0,мастер
Джастин Уотсон,1.0,Оливия Уотсон
 Джинни,1.0,Гарри 
Снейп,1.0,Флер
Ли Брэдли,1.0,Рон Уизли
Лили Поттер,1.0,Северус Снэйп
 Рон Уизли,1.0,Гермиона Грэйнджер
Марволо Мракс,1.0,ОЖП
Сигнус Блэк I,1.0,Элла Блэк
Араминта Мелифлуа,1.0,ОМП
Ксенофилиус Лавгуд,1.0,ОЖП
dark!Гарри Поттер,1.0,ОЖП
Ким Мингю,1.0,Чон Вону
ГП,1.0,ТР и др.
 Невилл Логнботтом,1.0,Луна Лавгуд 
Альфред,1.0,Артур
Кен Канеки,1.0,Северус Снейп
Кен Канеки,1.0,Люциус Малфой
Северус Снейп,2.0,Флоренц
Люциус Малфой,1.0,Нарцисса Малфой и др
Полумна.,1.0,Северус
Горсей!Гермиона Грейнджер,1.0,Дин Винчестер
Анджелина Джонсон,1.0,Фред Уизли.
Локи,1.0,Люциус Малфой
Феб де Шатопер,1.0,Флер-де-Лис де Гонделорье
 Том Риддл,1.0,Гарри Поттер 
Габриель Певерелл - Ля-фей,1.0,Том Марволо Риддл и секрет
fem!Ремус Люпин,3.0,fem!Сириус Блэк III
ГП,1.0,СС и др.
Минерва МакГонагалл,1.0,Помона Спраут
 Гилдерой Локхарт,1.0,Парвати Патил 
Грейнджер,2.0,Драко Малфой
Виктория Торрес,1.0,Сириус Блэк III
Светлый,1.0,Тёмный
Гермиона Грейнджер,1.0,Дракона Малфой
Джеймс,2.0,Доминик
Падме Амидала Наберри,2.0,Энакин Скайуокер
fem!Аллен Уолкер,1.0,Юу Канда
 Луна Лавгуд,3.0,Драко Малфой 
Dan,1.0,Phil
Гарри.,1.0,Северус
Люциус Малфой.,1.0,Темный Лорд
Гермиона Грейнджер,1.0,Макс Айзенхардт
Джинни Уизли,1.0,Пьетро Максимофф
Ванда Максимофф,1.0,Северус Снейп
"Джеймс ""Логан"" Хоулетт",1.0,Лаванда Браун
Гарри Поттер,2.0,Ричард Поттер
ОМП,1.0,УМ
Сириус Блэк III,1.0,Элтариэль
Галадриэль,1.0,Гэндальф Серый
Гермиона Грейнджер,1.0,Драко; Гарри Гермиона
fem!Драко Малфой,1.0,fem!Рон Уизли
fem!Гарри Поттер,1.0,Дадли Дурсль
Корнелиус,1.0,Рита
Джаспер Хейл,1.0,Луна Лавгуд
Джейкоб Блэк,1.0,Изабелла Свон
Джини,1.0,Драко Малфой
Валентина Петровна Будько,1.0,Иван Степанович Будько
Даниэль Темзем,1.0,Том Риддл- основной.
ОЖП,3.0,Шерлок Холмс
fem!Гарри Поттер,1.0,Мукуро Рокудо
Северус Снейп,1.0,кларнет
Виктория Айрес,1.0,Драко Малфой
Дара Мак'Кенна,1.0,Осгит Мак'Кенна
fem!Гарри Поттер,2.0,male!Гермиона Грейнджер
fem!Гарри Поттер,1.0,Антонин Долохов
Мобэй Цзюнь,1.0,Шан Цинхуа
Мэн Яо,2.0,Не Минцзюэ
Гермиона Грэйнджер,2.0,Северус Снейп
 Майя Бруксс,1.0,Гарри Поттер
Веном!Гарри Поттер,1.0,Гермиона Грейнджер
Беллатриса Блэк,1.0,Минерва Макгонагал
Cалазар,1.0,Ровена
Джейдн Снейп,1.0,Феликс Малфлой
Драко Малфой,1.0,Эшлин Дамблдор
Луна Ван Хаузен,1.0,Флэш
ОЖП,1.0,Солас
 Елизабет Хофман,1.0,Гарри Поттер
 Лаванда Браун,1.0,Рон Уизли 
Габриэль Делакур,1.0,Чарли Уизли
Гермиона Грейнджер,1.0,Драко Малфой и остальные герои поттерианы.
Минерва Макгонагалл,1.0,Сивилла Трелони
 Джош Мирс,1.0,Гарри Поттер
Гарри Поттер,1.0,Драко Малфой - основной
Гарри Поттер,1.0,Десятый Доктор
Волан-де-Морт,1.0,Нос
Ровена Рейвенкло,1.0,Северус Снейп
Гарри Поттер,1.0,Хината Шоё
 Тонкс,1.0,Римус 
 ОЖП,1.0,Гарри Поттер 
(Адриан)!Гарри Поттер,1.0,Северус Снейп
(Адриан)!Гарри Поттер,1.0,(одностор)!Люциус Малфой
(юный)!Гарри Поттер,1.0,Драко Малфой
Драко Малфой,1.0,Мелисса
 Гермиона Грейнджер,2.0,Рон Уизли 
 Джуан Алькасар,1.0,Драко Малфой
reverse!Зонтик,1.0,reverse!Северус Снейп
Блейз Забини,1.0,Вероника Лодж
Персонаж,1.0,ты
Бартемиус,1.0,Полумна
 Драко Малфой,1.0,Гарри Потер 
Гермиона Грейнджер,2.0,Миртл Уоррен
Гермиона Грейнджер,1.0,Чарльз Фрэнсис Ксавьер
Гарри Поттер,1.0,Наташа Романова
Джинни Уизли,1.0,Мерула Снайд
Гермиона Грейнджер,1.0,Мерула Снайд
Беллатриса Лестрейндж,1.0,Фея-крёстная
Дарт Вейдер,1.0,Лили Певерелл
Мерлин,1.0,Моргана
Майк Уилер,2.0,Макс Мэйфилд
Макс Мэйфилд,1.0,Ричи Тозиер
Одиннадцать,1.0,Эдди Каспбрак
Макс Мэйфилд,1.0,Стэнли Урис
Одиннадцать,1.0,Уилл Байерс
Локи,1.0,Наташа Романофф
Сокка,1.0,Тоф Бейфонг
Зуко,1.0,Суюки
Аватар Корра,1.0,Мако
Болин,1.0,Опал
Асами Сато,1.0,Генерал Айро
Макс,1.0,Меламори Блимм
Кенлех,1.0,Мелифаро
Венди Кордрой,1.0,Диппер Пайнс
Роберт Стэйси Валентино,1.0,Тэмбри Ривера
"Генри ""Хэнк"" МакКой",1.0,Рейвен Даркхолм
Джин Грей,1.0,Скотт Саммерс
Кэтрин «Китти» Прайд,1.0,Петр Распутин
Джози Маккой,1.0,Свит Пи
Гарри Поттер\Джинни Уизли,1.0,ОЖП
Боромир,1.0,Гермиона Грейнджер
ПУ,2.0,СС
ГП,3.0,ПЛ
Гаюс,1.0,Сириус Блэк
 Драко Малфой и другие персонажи.,1.0,Fem!Гарри Поттер 
 Том Реддл,1.0,Северус Снейп 
Роджер Мальсибер,3.0,Северус Снейп
Блейз,1.0,ОЖП
Майк Уилер,3.0,Уилл Байерс
Макс Мэйфилд,1.0,Одиннадцать
 Джордж Уизли,1.0,Луна Лавгуд
Нимфадо́ра Тонкс,1.0,ОМП
Альбус Дамблдор,1.0,Сивилла Трелони
Лаванда Браун,1.0,Руби Лукас
Аид,1.0,Гарри Поттер
Беллатриса Лестрейндж,1.0,Невилл Логботтом
Эйвери-старший,1.0,Эйлин Принц
Розали Лестрейндж,1.0,Том Марволо Реддл
Адель Лестрейндж,1.0,Антонин Долохов
Сивилла Трелони,1.0,Стэн Шанпайк
Минерва Макгонагалл,1.0,Чарли Кроссман
гарри,1.0,нимфадора
Джордж Уизли,1.0,Лорен Поттер
Гэвин Рид,4.0,Коннор
Альбус Северус Поттер,1.0,Пэнси Паркинсон
 Доркас,1.0,Рабастан 
Сакура Харуно,1.0,Сасори Акасуна
Джинни Уизли,1.0,Наруто Узумаки
Беллатриса Лестрейндж,1.0,Рубеус Хагрид
Альбус Дамблдор,2.0,Нарцисса Малфой
Аластор Грюм,1.0,Флёр Делакур
Олимпия Максим,1.0,Сириус Блэк III
Луна Лавгуд,1.0,дракон
Беллатриса Лестрейндж,3.0,Фенрир Сивый
Гарри Поттер,1.0,Марьяна Вэнди
Ли Донхёк,1.0,Со Ёнхо
Ли Тэён,1.0,Чон Юно
Гарри Поттер,1.0,Миллисенда Булстроуд.
Меропа Мракс,1.0,ОМП
Майкл Корнер,1.0,Энтони Голдстейн.
Аанг,1.0,Попаданка!Катара
Гермиона Грейнджер,2.0,Рита Скитер
Девушка,1.0,Джордж Уизли
Абраксас Малфой,4.0,Том Марволо Реддл
Гарри Поттер,1.0,Гермиона Грейнджер - основной
Александра Слизерин,1.0,Гарри Поттер
Гарри Поттер,1.0,одн!Драко Малфой
Алексей,1.0,Олеся
Александр,1.0,Полина
Антон,1.0,Валерия
light!Гарри Поттер,1.0,потеряшка!Цири
ГГ,1.0,НМП
Лили Поттер,1.0,Марлин Маккиннон
Невилл Лонгботтом,1.0,Трейси Дэвис
Кагеяма,1.0,Хината
Люциус Малфой,1.0,Роза Уизли
 Эмбер,1.0,Северус Снейп 
Зубная фея,1.0,Пасхальный кролик
Джеймс Плеядус Хокинс,1.0,Мелоди
Айверия,1.0,Гарри Поттер
Майкл Маккормик,1.0,Элиот Вог
Северус Снейп,6.0,Том Реддл
Беллатрикс Лестрейндж,2.0,Невилл Лонгоботтом
Стайлз,1.0,Уилл
Айва Питерсон,1.0,Драко Малфой
Кан Даниэль,2.0,Он Сону
 Долорес Амбридж,1.0,Аргус Филч
Гермиона Грейнджер,1.0,Корнелиус Фадж
Кассиопея Блэк,1.0,Тедди Люпин
мама Лёшки,1.0,папа Лёшки
Гарри Поттер\Северус Снейп,1.0,Драко Малфой
Леопольд Гроттер,1.0,Софья Гроттер
